"Month","Monthly flows, chang jiang at han kou, 1865-1979"
"1875-09",36300
"1875-10",28800
"1875-11",15600
"1875-12",9620
"1876-01",5800
"1876-02",9550
"1876-03",15500
"1876-04",17700
"1876-05",28100
"1876-06",36800
"1876-07",46300
"1876-08",44300
"1876-09",37700
"1876-10",28500
"1876-11",18500
"1876-12",9500
"1877-01",5420
"1877-02",9080
"1877-03",7870
"1877-04",16700
"1877-05",28500
"1877-06",28000
"1877-07",27500
"1877-08",28600
"1877-09",28100
"1877-10",27000
"1877-11",14400
"1877-12",9960
"1878-01",6640
"1878-02",7380
"1878-03",13700
"1878-04",22400
"1878-05",21800
"1878-06",26700
"1878-07",46600
"1878-08",51500
"1878-09",44000
"1878-10",35400
"1878-11",32100
"1878-12",14800
"1879-01",7240
"1879-02",6510
"1879-03",9570
"1879-04",9460
"1879-05",19000
"1879-06",31800
"1879-07",40700
"1879-08",36100
"1879-09",29500
"1879-10",24400
"1879-11",16300
"1879-12",7780
"1880-01",5590
"1880-02",9420
"1880-03",12200
"1880-04",13900
"1880-05",16300
"1880-06",27800
"1880-07",37800
"1880-08",36000
"1880-09",36300
"1880-10",25700
"1880-11",13400
"1880-12",7100
"1881-01",5120
"1881-02",5690
"1881-03",9380
"1881-04",13600
"1881-05",30000
"1881-06",33300
"1881-07",35800
"1881-08",31600
"1881-09",31100
"1881-10",35000
"1881-11",27200
"1881-12",16300
"1882-01",9360
"1882-02",14900
"1882-03",12400
"1882-04",15800
"1882-05",23400
"1882-06",31400
"1882-07",46600
"1882-08",43900
"1882-09",38200
"1882-10",39900
"1882-11",35100
"1882-12",18900
"1883-01",8250
"1883-02",6820
"1883-03",11000
"1883-04",15200
"1883-05",30800
"1883-06",37000
"1883-07",46700
"1883-08",44500
"1883-09",40700
"1883-10",40000
"1883-11",34900
"1883-12",22300
"1884-01",10600
"1884-02",12400
"1884-03",15800
"1884-04",19800
"1884-05",22000
"1884-06",23500
"1884-07",34400
"1884-08",29100
"1884-09",28600
"1884-10",20200
"1884-11",17900
"1884-12",7880
"1885-01",5850
"1885-02",7620
"1885-03",13100
"1885-04",20300
"1885-05",27100
"1885-06",39900
"1885-07",47800
"1885-08",46600
"1885-09",38800
"1885-10",28900
"1885-11",19200
"1885-12",11600
"1886-01",7610
"1886-02",6030
"1886-03",11900
"1886-04",23500
"1886-05",22800
"1886-06",30900
"1886-07",37700
"1886-08",41500
"1886-09",38200
"1886-10",36000
"1886-11",29800
"1886-12",12900
"1887-01",7500
"1887-02",10300
"1887-03",16100
"1887-04",10800
"1887-05",20700
"1887-06",36600
"1887-07",51600
"1887-08",47600
"1887-09",39400
"1887-10",34200
"1887-11",20900
"1887-12",7930
"1888-01",5370
"1888-02",7840
"1888-03",11700
"1888-04",21300
"1888-05",31400
"1888-06",30100
"1888-07",38400
"1888-08",41000
"1888-09",36900
"1888-10",26000
"1888-11",14400
"1888-12",9350
"1889-01",6460
"1889-02",6760
"1889-03",5800
"1889-04",14100
"1889-05",26600
"1889-06",32500
"1889-07",43000
"1889-08",47500
"1889-09",48800
"1889-10",51400
"1889-11",37700
"1889-12",18200
"1890-01",9390
"1890-02",8710
"1890-03",13000
"1890-04",19900
"1890-05",29600
"1890-06",38300
"1890-07",47000
"1890-08",50400
"1890-09",48500
"1890-10",36700
"1890-11",17200
"1890-12",11300
"1891-01",7500
"1891-02",6130
"1891-03",10800
"1891-04",13500
"1891-05",17400
"1891-06",24600
"1891-07",40400
"1891-08",41800
"1891-09",35700
"1891-10",32500
"1891-11",30900
"1891-12",11900
"1892-01",6650
"1892-02",7000
"1892-03",7250
"1892-04",14200
"1892-05",30000
"1892-06",33300
"1892-07",42800
"1892-08",41700
"1892-09",35000
"1892-10",27700
"1892-11",22300
"1892-12",14100
"1893-01",6890
"1893-02",7580
"1893-03",12800
"1893-04",15200
"1893-05",18800
"1893-06",29800
"1893-07",39500
"1893-08",46000
"1893-09",42400
"1893-10",35600
"1893-11",19700
"1893-12",8960
"1894-01",6160
"1894-02",6740
"1894-03",16500
"1894-04",14400
"1894-05",27400
"1894-06",41000
"1894-07",39200
"1894-08",33600
"1894-09",31000
"1894-10",37000
"1894-11",26200
"1894-12",11500
"1895-01",6730
"1895-02",5240
"1895-03",6140
"1895-04",12300
"1895-05",18500
"1895-06",23900
"1895-07",29100
"1895-08",39800
"1895-09",34400
"1895-10",27400
"1895-11",21100
"1895-12",9730
"1896-01",5410
"1896-02",5180
"1896-03",7810
"1896-04",14400
"1896-05",23200
"1896-06",27000
"1896-07",37600
"1896-08",33000
"1896-09",41300
"1896-10",46900
"1896-11",32300
"1896-12",16300
"1897-01",8830
"1897-02",8050
"1897-03",13400
"1897-04",22800
"1897-05",32400
"1897-06",40700
"1897-07",43300
"1897-08",48800
"1897-09",43500
"1897-10",38400
"1897-11",29200
"1897-12",14900
"1898-01",8530
"1898-02",7570
"1898-03",8090
"1898-04",11800
"1898-05",24500
"1898-06",32400
"1898-07",33800
"1898-08",37100
"1898-09",39400
"1898-10",33500
"1898-11",16400
"1898-12",8520
"1899-01",5990
"1899-02",5590
"1899-03",10900
"1899-04",15400
"1899-05",14700
"1899-06",29600
"1899-07",36300
"1899-08",31300
"1899-09",39200
"1899-10",37500
"1899-11",23600
"1899-12",10000
"1900-01",7400
"1900-02",7670
"1900-03",11100
"1900-04",13100
"1900-05",17900
"1900-06",17700
"1900-07",27200
"1900-08",24100
"1900-09",19300
"1900-10",12200
"1900-11",8370
"1900-12",5710
"1901-01",5670
"1901-02",6770
"1901-03",4600
"1901-04",10100
"1901-05",17600
"1901-06",23600
"1901-07",47400
"1901-08",42200
"1901-09",33700
"1901-10",28300
"1901-11",16300
"1901-12",7870
"1902-01",5310
"1902-02",6100
"1902-03",5250
"1902-04",8940
"1902-05",19200
"1902-06",19900
"1902-07",31900
"1902-08",37100
"1902-09",34800
"1902-10",28900
"1902-11",16800
"1902-12",7850
"1903-01",5820
"1903-02",5500
"1903-03",12500
"1903-04",18400
"1903-05",28400
"1903-06",29800
"1903-07",39700
"1903-08",42600
"1903-09",41700
"1903-10",33500
"1903-11",20000
"1903-12",9050
"1904-01",5640
"1904-02",5200
"1904-03",10200
"1904-04",17200
"1904-05",28000
"1904-06",24900
"1904-07",32200
"1904-08",35900
"1904-09",36300
"1904-10",33600
"1904-11",25400
"1904-12",10700
"1905-01",8230
"1905-02",7960
"1905-03",12700
"1905-04",20900
"1905-05",24100
"1905-06",31500
"1905-07",34200
"1905-08",36600
"1905-09",44400
"1905-10",42500
"1905-11",31900
"1905-12",15800
"1906-01",14700
"1906-02",12400
"1906-03",13500
"1906-04",20900
"1906-05",34800
"1906-06",36000
"1906-07",42200
"1906-08",45400
"1906-09",42000
"1906-10",34700
"1906-11",17400
"1906-12",8740
"1907-01",5960
"1907-02",8300
"1907-03",9160
"1907-04",14600
"1907-05",21500
"1907-06",21000
"1907-07",35900
"1907-08",37500
"1907-09",37500
"1907-10",43700
"1907-11",39100
"1907-12",20900
"1908-01",9450
"1908-02",11600
"1908-03",11300
"1908-04",20900
"1908-05",24800
"1908-06",22200
"1908-07",42900
"1908-08",32200
"1908-09",28800
"1908-10",26600
"1908-11",29200
"1908-12",15800
"1909-01",8770
"1909-02",8250
"1909-03",8330
"1909-04",11200
"1909-05",22000
"1909-06",30100
"1909-07",47700
"1909-08",47000
"1909-09",39000
"1909-10",37700
"1909-11",31900
"1909-12",13600
"1910-01",10200
"1910-02",8200
"1910-03",9570
"1910-04",18300
"1910-05",28500
"1910-06",29400
"1910-07",36900
"1910-08",37600
"1910-09",37200
"1910-10",34000
"1910-11",28000
"1910-12",14100
"1911-01",8490
"1911-02",9960
"1911-03",16900
"1911-04",20000
"1911-05",25100
"1911-06",36600
"1911-07",46100
"1911-08",47800
"1911-09",44500
"1911-10",36900
"1911-11",33200
"1911-12",24000
"1912-01",15200
"1912-02",12000
"1912-03",20100
"1912-04",18900
"1912-05",24900
"1912-06",29300
"1912-07",47700
"1912-08",42500
"1912-09",33300
"1912-10",19800
"1912-11",12500
"1912-12",8340
"1913-01",7640
"1913-02",7380
"1913-03",14500
"1913-04",17100
"1913-05",28000
"1913-06",35600
"1913-07",40100
"1913-08",40400
"1913-09",35200
"1913-10",29300
"1913-11",18300
"1913-12",9470
"1914-01",6730
"1914-02",9120
"1914-03",10200
"1914-04",13900
"1914-05",22800
"1914-06",32700
"1914-07",23900
"1914-08",33300
"1914-09",30700
"1914-10",23300
"1914-11",24700
"1914-12",14100
"1915-01",6960
"1915-02",5120
"1915-03",6150
"1915-04",15100
"1915-05",23100
"1915-06",23600
"1915-07",37200
"1915-08",39100
"1915-09",39500
"1915-10",35100
"1915-11",27200
"1915-12",13200
"1916-01",7270
"1916-02",8050
"1916-03",12300
"1916-04",14600
"1916-05",28600
"1916-06",26000
"1916-07",36300
"1916-08",35400
"1916-09",29000
"1916-10",27900
"1916-11",24700
"1916-12",10300
"1917-01",6460
"1917-02",5320
"1917-03",10700
"1917-04",15400
"1917-05",21100
"1917-06",31900
"1917-07",42600
"1917-08",46800
"1917-09",39500
"1917-10",32700
"1917-11",23700
"1917-12",10100
"1918-01",6150
"1918-02",5020
"1918-03",7000
"1918-04",16100
"1918-05",24600
"1918-06",37000
"1918-07",38100
"1918-08",44500
"1918-09",47700
"1918-10",39400
"1918-11",24000
"1918-12",14600
"1919-01",10600
"1919-02",9550
"1919-03",15000
"1919-04",14800
"1919-05",18500
"1919-06",24100
"1919-07",40200
"1919-08",44200
"1919-09",34700
"1919-10",30900
"1919-11",16400
"1919-12",8800
"1920-01",5980
"1920-02",6270
"1920-03",13600
"1920-04",19700
"1920-05",23500
"1920-06",32400
"1920-07",44400
"1920-08",43900
"1920-09",44000
"1920-10",43100
"1920-11",26900
"1920-12",15900
"1921-01",10300
"1921-02",9610
"1921-03",8650
"1921-04",12200
"1921-05",29200
"1921-06",37100
"1921-07",45200
"1921-08",48800
"1921-09",46800
"1921-10",42700
"1921-11",27000
"1921-12",12100
"1922-01",8410
"1922-02",8680
"1922-03",9920
"1922-04",15500
"1922-05",19000
"1922-06",29100
"1922-07",39300
"1922-08",48600
"1922-09",46700
"1922-10",29700
"1922-11",17000
"1922-12",9010
"1923-01",5990
"1923-02",5880
"1923-03",7930
"1923-04",13200
"1923-05",22200
"1923-06",33400
"1923-07",48700
"1923-08",45000
"1923-09",36800
"1923-10",26600
"1923-11",17700
"1923-12",11100
"1924-01",7340
"1924-02",10200
"1924-03",9780
"1924-04",15100
"1924-05",32700
"1924-06",28900
"1924-07",56200
"1924-08",51700
"1924-09",39800
"1924-10",29500
"1924-11",15800
"1924-12",8530
"1925-01",6860
"1925-02",8590
"1925-03",11700
"1925-04",14500
"1925-05",25800
"1925-06",24200
"1925-07",26100
"1925-08",28500
"1925-09",34000
"1925-10",29800
"1925-11",21900
"1925-12",11000
"1926-01",7170
"1926-02",7820
"1926-03",13600
"1926-04",12100
"1926-05",20000
"1926-06",33400
"1926-07",51200
"1926-08",53400
"1926-09",41700
"1926-10",33700
"1926-11",23000
"1926-12",14400
"1927-01",10100
"1927-02",8860
"1927-03",12200
"1927-04",21700
"1927-05",27700
"1927-06",29800
"1927-07",43500
"1927-08",39800
"1927-09",31900
"1927-10",27900
"1927-11",14500
"1927-12",8920
"1928-01",6500
"1928-02",5630
"1928-03",7470
"1928-04",8230
"1928-05",16700
"1928-06",22300
"1928-07",25100
"1928-08",33400
"1928-09",24400
"1928-10",21800
"1928-11",12900
"1928-12",6880
"1929-01",5130
"1929-02",5100
"1929-03",5360
"1929-04",6300
"1929-05",15500
"1929-06",23900
"1929-07",36200
"1929-08",40100
"1929-09",29600
"1929-10",27600
"1929-11",15700
"1929-12",8600
"1930-01",7270
"1930-02",9270
"1930-03",11900
"1930-04",20000
"1930-05",31900
"1930-06",33500
"1930-07",38500
"1930-08",30300
"1930-09",38100
"1930-10",31700
"1930-11",22200
"1930-12",12900
"1931-01",7460
"1931-02",7520
"1931-03",12700
"1931-04",14400
"1931-05",30800
"1931-06",36500
"1931-07",44900
"1931-08",56500
"1931-09",52300
"1931-10",40500
"1931-11",23200
"1931-12",12800
"1932-01",8510
"1932-02",10300
"1932-03",11600
"1932-04",11400
"1932-05",24900
"1932-06",33600
"1932-07",44000
"1932-08",36100
"1932-09",39400
"1932-10",36000
"1932-11",20700
"1932-12",10000
"1933-01",7800
"1933-02",8330
"1933-03",9450
"1933-04",12600
"1933-05",23900
"1933-06",43900
"1933-07",48100
"1933-08",35100
"1933-09",22300
"1933-10",29600
"1933-11",20100
"1933-12",11400
"1934-01",7320
"1934-02",5500
"1934-03",9580
"1934-04",14500
"1934-05",26200
"1934-06",30600
"1934-07",37700
"1934-08",37000
"1934-09",36800
"1934-10",32000
"1934-11",20900
"1934-12",11200
"1935-01",8200
"1935-02",9960
"1935-03",14800
"1935-04",19600
"1935-05",20800
"1935-06",34400
"1935-07",54400
"1935-08",45600
"1935-09",41500
"1935-10",36600
"1935-11",32300
"1935-12",21300
"1936-01",10900
"1936-02",10300
"1936-03",10600
"1936-04",19900
"1936-05",31500
"1936-06",31600
"1936-07",26400
"1936-08",36700
"1936-09",34100
"1936-10",16700
"1936-11",9120
"1936-12",7000
"1937-01",5410
"1937-02",7470
"1937-03",10900
"1937-04",12000
"1937-05",22200
"1937-06",35000
"1937-07",38600
"1937-08",49500
"1937-09",53000
"1937-10",47700
"1937-11",32000
"1937-12",16000
"1938-01",9470
"1938-02",9970
"1938-03",12600
"1938-04",15200
"1938-05",19500
"1938-06",41200
"1938-07",48200
"1938-08",46300
"1938-09",46800
"1938-10",45600
"1938-11",29100
"1938-12",14000
"1939-01",8340
"1939-02",10800
"1939-03",18400
"1939-04",19500
"1939-05",20000
"1939-06",25700
"1939-07",36700
"1939-08",44100
"1939-09",31000
"1939-10",23900
"1939-11",13800
"1939-12",9400
"1940-01",5570
"1940-02",5870
"1940-03",16000
"1940-04",15400
"1940-05",17500
"1940-06",16200
"1940-07",28800
"1940-08",33200
"1940-09",34900
"1940-10",30200
"1940-11",20100
"1940-12",9260
"1941-01",6590
"1941-02",6570
"1941-03",9720
"1941-04",11300
"1941-05",19800
"1941-06",13000
"1941-07",23700
"1941-08",35700
"1941-09",38400
"1941-10",25200
"1941-11",16200
"1941-12",12000
"1942-01",8500
"1942-02",5790
"1942-03",8770
"1942-04",13900
"1942-05",23200
"1942-06",31100
"1942-07",42000
"1942-08",32900
"1942-09",21800
"1942-10",19500
"1942-11",13700
"1942-12",7470
"1943-01",5210
"1943-02",5700
"1943-03",9360
"1943-04",16300
"1943-05",23800
"1943-06",31100
"1943-07",43500
"1943-08",40500
"1943-09",41900
"1943-10",32200
"1943-11",25300
"1943-12",11000
"1944-01",7490
"1944-02",13200
"1944-03",9660
"1944-04",17200
"1944-05",23200
"1944-06",28900
"1944-07",38386
"1944-08",36717
"1944-09",32100
"1944-10",27268
"1944-11",18392
"1944-12",10577
"1945-01",7060
"1945-02",5270
"1945-03",8200
"1945-04",10400
"1945-05",23400
"1945-06",32000
"1945-07",44100
"1945-08",40300
"1945-09",33700
"1945-10",28100
"1945-11",17800
"1945-12",10600
"1946-01",7620
"1946-02",8670
"1946-03",7310
"1946-04",11700
"1946-05",21500
"1946-06",28300
"1946-07",39700
"1946-08",45300
"1946-09",41600
"1946-10",28100
"1946-11",16500
"1946-12",9080
"1947-01",6790
"1947-02",8600
"1947-03",14600
"1947-04",20500
"1947-05",34000
"1947-06",38100
"1947-07",51700
"1947-08",50800
"1947-09",43300
"1947-10",36300
"1947-11",24600
"1947-12",14600
"1948-01",12700
"1948-02",10500
"1948-03",14600
"1948-04",19200
"1948-05",28300
"1948-06",42400
"1948-07",50700
"1948-08",48900
"1948-09",44500
"1948-10",41400
"1948-11",28900
"1948-12",16900
"1949-01",12800
"1949-02",13800
"1949-03",10800
"1949-04",18900
"1949-05",25800
"1949-06",35400
"1949-07",44400
"1949-08",40100
"1949-09",38400
"1949-10",35800
"1949-11",23400
"1949-12",11800
"1950-01",7750
"1950-02",6570
"1950-03",9370
"1950-04",18800
"1950-05",30000
"1950-06",21100
"1950-07",32500
"1950-08",37000
"1950-09",34800
"1950-10",29200
"1950-11",16700
"1950-12",12400
"1951-01",7730
"1951-02",7800
"1951-03",14700
"1951-04",14500
"1951-05",31500
"1951-06",32000
"1951-07",36200
"1951-08",40600
"1951-09",56100
"1951-10",40100
"1951-11",23700
"1951-12",13000
"1952-01",7700
"1952-02",9900
"1952-03",15700
"1952-04",18900
"1952-05",20600
"1952-06",25200
"1952-07",35700
"1952-08",35100
"1952-09",28400
"1952-10",24500
"1952-11",23600
"1952-12",14100
"1953-01",13200
"1953-02",11100
"1953-03",10900
"1953-04",21200
"1953-05",33400
"1953-06",43800
"1953-07",57000
"1953-08",66500
"1953-09",50900
"1953-10",39200
"1953-11",23200
"1953-12",13400
"1954-01",8820
"1954-02",8440
"1954-03",9110
"1954-04",13600
"1954-05",18300
"1954-06",28900
"1954-07",45100
"1954-08",45100
"1954-09",38000
"1954-10",26100
"1954-11",18900
"1954-12",9600
"1955-01",6520
"1955-02",6680
"1955-03",8920
"1955-04",16500
"1955-05",28900
"1955-06",38200
"1955-07",41600
"1955-08",33500
"1955-09",38200
"1955-10",18500
"1955-11",11500
"1955-12",7540
"1956-01",6750
"1956-02",8420
"1956-03",9750
"1956-04",15200
"1956-05",28400
"1956-06",28400
"1956-07",41300
"1956-08",42200
"1956-09",20200
"1956-10",21300
"1956-11",13500
"1956-12",11700
"1957-01",7250
"1957-02",7100
"1957-03",7260
"1957-04",13300
"1957-05",33000
"1957-06",21700
"1957-07",42600
"1957-08",41400
"1957-09",37800
"1957-10",25300
"1957-11",15400
"1957-12",8830
"1958-01",6310
"1958-02",11100
"1958-03",14500
"1958-04",19500
"1958-05",23700
"1958-06",34100
"1958-07",32800
"1958-08",29900
"1958-09",16200
"1958-10",13800
"1958-11",13100
"1958-12",9570
"1959-01",7030
"1959-02",5640
"1959-03",11100
"1959-04",12900
"1959-05",19400
"1959-06",23300
"1959-07",38900
"1959-08",36700
"1959-09",30500
"1959-10",21200
"1959-11",14300
"1959-12",9310
"1960-01",5970
"1960-02",6570
"1960-03",15900
"1960-04",20600
"1960-05",23100
"1960-06",27600
"1960-07",39800
"1960-08",32000
"1960-09",30500
"1960-10",25300
"1960-11",25200
"1960-12",14600
"1961-01",9230
"1961-02",6750
"1961-03",8780
"1961-04",14200
"1961-05",25400
"1961-06",34300
"1961-07",47200
"1961-08",41100
"1961-09",37400
"1961-10",26200
"1961-11",18300
"1961-12",11400
"1962-01",6940
"1962-02",5320
"1962-03",6280
"1962-04",11800
"1962-05",30500
"1962-06",27100
"1962-07",32900
"1962-08",36200
"1962-09",36900
"1962-10",29500
"1962-11",18800
"1962-12",13400
"1963-01",9510
"1963-02",8950
"1963-03",14300
"1963-04",25400
"1963-05",33600
"1963-06",31600
"1963-07",45600
"1963-08",36900
"1963-09",47000
"1963-10",45700
"1963-11",24400
"1963-12",10600
"1964-01",7450
"1964-02",6440
"1964-03",7010
"1964-04",14300
"1964-05",26400
"1964-06",28400
"1964-07",44600
"1964-08",38600
"1964-09",39700
"1964-10",35300
"1964-11",20300
"1964-12",12800
"1965-01",8880
"1965-02",8320
"1965-03",7260
"1965-04",14500
"1965-05",16000
"1965-06",25000
"1965-07",38000
"1965-08",32900
"1965-09",36500
"1965-10",24300
"1965-11",15300
"1965-12",8300
"1966-01",6180
"1966-02",6870
"1966-03",11100
"1966-04",17500
"1966-05",34500
"1966-06",34500
"1966-07",44300
"1966-08",31400
"1966-09",29700
"1966-10",26400
"1966-11",17100
"1966-12",13900
"1967-01",7330
"1967-02",6890
"1967-03",12100
"1967-04",23600
"1967-05",25700
"1967-06",24800
"1967-07",53000
"1967-08",41900
"1967-09",45400
"1967-10",35000
"1967-11",17900
"1967-12",10400
"1968-01",9080
"1968-02",7850
"1968-03",7410
"1968-04",11500
"1968-05",21200
"1968-06",18500
"1968-07",48300
"1968-08",38900
"1968-09",38000
"1968-10",24700
"1968-11",20300
"1968-12",9410
"1969-01",6370
"1969-02",6910
"1969-03",9870
"1969-04",20100
"1969-05",36800
"1969-06",32600
"1969-07",41500
"1969-08",40400
"1969-09",29000
"1969-10",33200
"1969-11",15700
"1969-12",12900
"1970-01",8740
"1970-02",8670
"1970-03",9540
"1970-04",14200
"1970-05",21000
"1970-06",39400
"1970-07",30600
"1970-08",26200
"1970-09",27800
"1970-10",26500
"1970-11",16700
"1970-12",7660
"1971-01",6040
"1971-02",6580
"1971-03",9430
"1971-04",15700
"1971-05",26400
"1971-06",26200
"1971-07",29900
"1971-08",21300
"1971-09",19300
"1971-10",23500
"1971-11",20100
"1971-12",10300
"1972-01",9910
"1972-02",9850
"1972-03",10100
"1972-04",20600
"1972-05",32300
"1972-06",37700
"1972-07",43400
"1972-08",31900
"1972-09",39000
"1972-10",32900
"1972-11",15000
"1972-12",9260
"1973-01",6590
"1973-02",8940
"1973-03",7740
"1973-04",12600
"1973-05",24200
"1973-06",22900
"1973-07",45600
"1973-08",41500
"1973-09",40200
"1973-10",34500
"1973-11",14000
"1973-12",9940
"1974-01",8230
"1974-02",8180
"1974-03",10400
"1974-04",16300
"1974-05",38000
"1974-06",36300
"1974-07",35700
"1974-08",34300
"1974-09",27500
"1974-10",33000
"1974-11",21400
"1974-12",12900
"1975-01",7870
"1975-02",7430
"1975-03",10300
"1975-04",16500
"1975-05",26800
"1975-06",32700
"1975-07",45300
"1975-08",25700
"1975-09",26100
"1975-10",24500
"1975-11",19500
"1975-12",9750
"1976-01",7170
"1976-02",7550
"1976-03",8680
"1976-04",23800
"1976-05",34500
"1976-06",37700
"1976-07",41000
"1976-08",33500
"1976-09",25500
"1976-10",21400
"1976-11",19100
"1976-12",9340
"1977-01",8060
"1977-02",6580
"1977-03",6480
"1977-04",10200
"1977-05",20300
"1977-06",36600
"1977-07",33800
"1977-08",29000
"1977-09",24000
"1977-10",16900
"1977-11",15200
"1977-12",9540
"1978-01",6020
"1978-02",6180
"1978-03",6720
"1978-04",8270
"1978-05",18300
"1978-06",25700
"1978-07",36200
"1978-08",34400
"1978-09",43800
"1978-10",28000
"1978-11",12600
"1978-12",7730

Monthly flows, chang jiang at han kou, 1865-1979

